SMILES,TPSA,ALOGP,XLOGP,MannholdLogP,n_acid,n_base,n_acid+n_base,TPSA_CDK,MolLogP,NumHDonors,NumHAcceptors,NumHDonors+NumHAcceptors
CC([NH3+])CC1=CC=CC=C1,27.64,-0.17280000000000117,2.1,2.3400000000000003,0,1,1,27.64,0.8594999999999995,1,0,1
CC(C)CN(CC(O)C(CC1=CC=CC=C1)NC(=O)OC1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,139.57,-0.4247000000000009,1.1480000000000006,3.11,0,0,0,131.19,2.4028,3,7,10
CN1N(C(=O)C=C1C)C1=CC=CC=C1,23.55,0.7911,0.6509999999999999,2.34,0,0,0,26.93,1.4844199999999999,0,3,3
CCCN1C2=C(NC(=N2)C2CCC(=O)C2)C(=O)N(CCC)C1=O,82.08000000000001,-1.7309999999999997,0.9109999999999998,2.4499999999999997,0,0,0,89.75,1.5429,1,6,7
CC(C)[NH2+]CC(O)COC1=CC=C(CC(N)=O)C=C1,89.16,-1.8722999999999983,-0.35299999999999987,2.45,0,2,2,89.16,-0.5740999999999981,3,3,6
C[NH+]1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1,50.97,-2.1214999999999997,1.473,2.89,0,3,3,50.97,0.5138000000000009,2,3,5
CCC1(CC)C(=O)NC(=O)NC1=O,75.27000000000001,-0.6307000000000003,0.4329999999999997,1.7899999999999998,0,0,0,75.27000000000001,0.15879999999999994,2,3,5
[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)NC=C1,104.86,-0.14440000000000064,3.2629999999999995,2.0100000000000002,0,0,0,83.85,2.6632000000000007,2,5,7
[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)NC=C1CC1=CC=CC=C1,104.86,1.3239999999999985,4.9879999999999995,2.78,0,0,0,83.85,4.254000000000003,2,5,7
C[NH+](C)CC1=CC=C(CSCCNC2=C(C=CN2)[N+]([O-])=O)O1,106.17,-0.9179999999999995,3.6699999999999995,2.12,0,3,3,88.54,1.5056999999999998,3,5,8
C(CNC1=CC=CC=N1)COC1=CC=CC(C[NH+]2CCCCC2)=C1,38.06,-1.547400000000001,1.7030000000000003,3.22,0,3,3,38.59,2.5314000000000005,2,3,5
CNC(NC1=CC=CC(=C1)C1=CSC(=N1)[NH+]=C(N)N)=NC#N,163.87999999999997,0.05670000000000097,0.22899999999999976,1.8999999999999997,0,7,7,139.10999999999999,-0.7360199999999995,5,4,9
C[NH+](C)CC1=CC=C(CSCCNC2=C(C(CC3=CC=CC=C3)=CN2)[N+]([O-])=O)O1,106.17,0.5503999999999996,5.3950000000000005,2.89,0,3,3,88.54,3.0965000000000016,3,5,8
C[NH+]1CCC2(O)C(C1)C1=C(OC3=C2C=CC=C3)C(C)=CC=C1,33.900000000000006,-0.843400000000002,0.791,3.2199999999999998,0,3,3,33.900000000000006,1.9905200000000003,2,2,4
CCN1CN(C2=CC=C(Br)C=C2)C2(CC[NH+](CCCC(=O)C3=CC=C(F)C=C3)CC2)C1=O,45.06,-0.5235000000000007,2.582000000000001,3.44,0,3,3,45.06,3.294800000000002,1,3,4
CC(C)[NH2+]CC(O)COC1=CC=C(CCOCC2CC2)C=C1,55.30000000000001,-0.9424999999999977,1.552,3.0,0,2,2,55.30000000000001,1.3672000000000006,2,3,5
OC(CC[NH+]1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,24.67,-2.424200000000001,3.3270000000000004,3.55,0,3,3,24.67,2.5453,2,1,3
CN1CC2=C(N=CN2C2=CC=CC(Cl)=C2C1=O)C1=NOC(=N1)C(C)(O)CO,110.32000000000001,-1.661299999999998,-0.15300000000000002,2.23,0,0,0,117.51,1.3610999999999998,2,8,10
