Smile-1,Smile-2,Average log BB (in vivo values),TPSA,logP(o/w),a_acid+a_base
O=C1N(N(C)C(=C1)C)c1ccccc1,CN1N(C(=O)C=C1C)C2=CC=CC=C2,-0.118,23.55,1.351,0
O=C1C[C@@H](CC1)c1[nH]c2c(n1)N(CCC)C(=O)N(CCC)C2=O,CCCN1C(=O)N(CCC)C2=C([NH]C(=N2)C3CCC(=O)C3)C1=O,-1.4,86.37,0.888,0
O(C[C@H](O)C[NH2+]C(C)C)c1ccc(cc1)CC(=O)N,CC(C)[NH2+]CC(O)COC1=CC=C(CC(N)=O)C=C1,-0.922,89.16,0.732,1
O(C(=O)[C@H](CO)c1ccccc1)C1C[C@@H]2[NH+]([C@H](C1)CC2)C,C[NH+]1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,-0.06,50.97,2.402,1
O=C1NC(=O)NC(=O)C1(CC)CC,CCC1(CC)C(=O)NC(=O)NC1=O,-0.139,75.27,0.885,0
S(Cc1ncccc1)CCNc1[nH]ccc1[N+](=O)[O-],[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)[NH]C=C1,-0.66,86.53,1.897,0
S(Cc1ncccc1)CCNc1[nH]cc(Cc2ccccc2)c1[N+](=O)[O-],[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2)[NH]C=C1CC3=CC=CC=C3,-0.12,86.53,3.942,0
S(Cc1oc(cc1)C[NH+](C)C)CCNc1[nH]ccc1[N+](=O)[O-],C[NH+](C)CC1=CC=C(CSCCNC2=C(C=C[NH]2)[N+]([O-])=O)O1,-1.12,91.22,1.811,1
O(CCCNc1[nH+]cccc1)c1cc(ccc1)C[NH+]1CCCCC1,C1CC[NH+](CC1)CC2=CC(=CC=C2)OCCCNC3=CC=CC=[NH+]3,0.69,39.84,4.295,3
s1cc(nc1\N=C(\N)/N)-c1cc(N\C(=N/C#N)\NC)ccc1,CNC(NC1=CC=CC(=C1)C2=CSC(=N2)N=C(N)N)=NC#N,-1.54,137.5,1.278,0
S(Cc1oc(cc1)C[NH+](C)C)CCNc1[nH]cc(Cc2ccccc2)c1[N+](=O)[O-],C[NH+](C)CC1=CC=C(CSCCNC2=C(C(=C[NH]2)CC3=CC=CC=C3)[N+]([O-])=O)O1,-0.73,91.22,3.856,1
O1c2c([C@@H]3C[N@@H+](CC[C@]3(O)c3c1cccc3)C)cccc2C,C[NH+]1CCC2(O)C(C1)C3=C(OC4=C2C=CC=C4)C(=CC=C3)C,0.82,33.9,3.205,1
Brc1ccc(N2CN(CC)C(=O)C23CC[NH+](CC3)CCCC(=O)c2ccc(F)cc2)cc1,CCN1CN(C2=CC=C(Br)C=C2)C3(CC[NH+](CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O,-0.43,45.06,4.664,1
O(C[C@H](O)C[NH2+]C(C)C)c1ccc(cc1)CCOCC1CC1,CC(C)[NH2+]CC(O)COC1=CC=C(CCOCC2CC2)C=C1,0.39,55.3,2.698,1
O[C@](CC[NH+]1CCCCC1)([C@H]1[C@H]2C=C[C@@H](C1)C2)c1ccccc1,OC(CC[NH+]1CCCCC1)(C2CC3CC2C=C3)C4=CC=CC=C4,0.848,24.67,3.865,1
Clc1c2c(-n3c(CN(C)C2=O)c(nc3)-c2nc(on2)[C@@](O)(CO)C)ccc1,CN1CC2=C(N=C[N]2C3=CC=CC(=C3C1=O)Cl)C4=NOC(=N4)C(C)(O)CO,-1.82,117.51,0.621,0
Oc1ccc(cc1)C(C)(C)c1ccc(O)cc1,CC(C)(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2,-0.12,40.46,4.714,0
O1c2cc(ccc2OC1)C1(OC)CCC([NH+]2CCC(CC2)Cc2cc(OC)ccc2)CC1,COC1=CC(=CC=C1)CC2CC[NH+](CC2)C3CCC(CC3)(OC)C4=CC5=C(OCO5)C=C4,0.74,41.36,5.99,1
Brc1ccc(N2CN(C)C(=O)C23CC[NH+](CC3)CCCC(=O)c2ccc(F)cc2)cc1,CN1CN(C2=CC=C(Br)C=C2)C3(CC[NH+](CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O,-0.55,45.06,4.323,1
Brc1ccc(N2CN(CCC)C(=O)C23CC[NH+](CC3)CCCC(=O)c2ccc(F)cc2)cc1,CCCN1CN(C2=CC=C(Br)C=C2)C3(CC[NH+](CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O,-0.01,45.06,5.278,1
Brc1c2c(-n3c([C@@H]4N(CCC4)C2=O)c(nc3)C(OC(C)(C)C)=O)ccc1,CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(C=CC=C4Br)[N]2C=N1,-0.09,64.43,3.52,0
Brc1[nH]c2c3c1C[C@H]1[N@@H+](C[C@@H](C=C1c3ccc2)C(=O)N[C@@]1(O[C@]2(O)N([C@@H](CC(C)C)C(=O)N3[C@H]2CCC3)C1=O)C(C)C)C,CC(C)CC1N2C(=O)C(NC(=O)C3C[NH+](C)C4CC5=C(Br)[NH]C6=CC=CC(=C56)C4=C3)(OC2(O)C7CCCN7C1=O)C(C)C,-1.1,119.41,5.1,1
BrC1=CC=C2N(C[C@H]3C[C@@H]2C[NH2+]C3)C1=O,BrC1=CC=C2C3C[NH2+]CC(C3)CN2C1=O,-0.05,36.92,1.123,1
Brc1ccc(cc1)C1(O)CC[NH+](CC1)CCC(=O)c1ccc(F)cc1,OC1(CC[NH+](CCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Br)C=C3,1.38,41.74,4.362,1
Brc1ccc(N2CNC(=O)C23CC[NH+](CC3)CCCC(=O)c2ccc(F)cc2)cc1,FC1=CC=C(C=C1)C(=O)CCC[NH+]2CCC3(CC2)N(CNC3=O)C4=CC=C(Br)C=C4,0.07,53.85,4.126,1
O(C[C@@H](O)C[NH2+]C(C)(C)C)c1ccccc1C#N,CC(C)(C)[NH2+]CC(O)COC1=C(C=CC=C1)C#N,0.38,69.86,1.766,1
Clc1cc(ccc1)C(=O)[C@H]([NH2+]C(C)(C)C)C,CC([NH2+]C(C)(C)C)C(=O)C1=CC(=CC=C1)Cl,1.4,33.68,3.543,1
O=C1N(CCCC[NH+]2CCN(CC2)c2ncccn2)C(=O)CC2(C1)CCCC2,O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]3CCN(CC3)C4=NC=CC=N4,0.48,70.84,0.809,1
S1c2c(N(c3c1cccc3)CCC[NH+]1CC[NH+](CC1)C)cc(cc2)C(=O)CCC,CCCC(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCC[NH+]4CC[NH+](C)CC4)C=C1,0.83,29.19,4.327,2
O(C(=O)c1ccc(N)cc1)CCCC,CCCCOC(=O)C1=CC=C(N)C=C1,0.42,52.32,2.572,0
O=C1N(C)C(=O)N(c2ncn(c12)C)C,C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.022,58.44,-0.604,0
O=C(N)N1c2c(C=Cc3c1cccc3)cccc2,NC(=O)N1C2=C(C=CC=C2)C=CC3=C1C=CC=C3,-0.07,46.33,2.968,0
O1[C@H]2[C@@H]1c1c(N(c3c2cccc3)C(=O)N)cccc1,NC(=O)N1C2=C(C=CC=C2)C3OC3C4=C1C=CC=C4,-0.347,58.86,2.132,0
ClCCN(N=O)C(=O)NCCCl,ClCCNC(=O)N(CCCl)N=O,-0.52,61.77,0.871,0
O(C[C@@H](O)C[NH2+]C(C)(C)C)c1c2CCC(=O)Nc2ccc1,CC(C)(C)[NH2+]CC(O)COC1=C2CCC(=O)NC2=CC=C1,-0.4,75.17,1.265,1
S1\C(\SC1C(=O)N[C@]1(OC)[C@H]2SCC(CSc3nnnn3C)=C(N2C1=O)C(=O)[O-])=C(/C(=O)N)\C(=O)[O-],COC1(NC(=O)[CH]2S[C](S2)=[C](C(N)=O)C([O-])=O)C3SCC(=C(N3C1=O)C([O-])=O)CSC4=NN=N[N]4C,-1.89,225.59,-0.5,4
