Smile-1,Smile-2,Average log BB (in vivo values),TPSA,logP(o/w),a_acid+a_base
Clc1ccc(cc1)C(=O)n1c2c(cc(OC)cc2)c(CC(=O)[O-])c1C,COC1=CC2=C(C=C1)[N](C(=C2CC([O-])=O)C)C(=O)C3=CC=C(Cl)C=C3,-1.26,71.36,4.494,2
O=C([O-])\C=C(/C=C/C=C(\C=C\C=1C(CCCC=1C)(C)C)/C)\C,CC1=C(\C=C\C(C)=C\C=C\C(C)=C/C([O-])=O)C(C)(C)CCC1,-0.494,40.13,4.75,2
Clc1c2c(-n3c(CN(C)C2=O)c(nc3)-c2nc(on2)C(C)C)ccc1,CC(C)C1=NC(=NO1)C2=C3CN(C)C(=O)C4=C(Cl)C=CC=C4[N]3C=N2,-0.3,77.05,2.452,0
Clc1c(cccc1Cl)-c1nnc(nc1N)N,NC1=NN=C(C(=N1)N)C2=CC=CC(=C2Cl)Cl,0.48,90.71,2.491,0
Oc1cc(ccc1O)C[C@@H]([NH3+])C(=O)[O-],[NH3+]C(CC1=CC=C(O)C(=C1)O)C([O-])=O,-0.77,108.23,0.416,3
Oc1cc2[C@]34[C@H]([C@@H]([N@@H+](CC3)C)Cc2cc1)CCCC4,C[NH+]1CCC23CCCCC2C1CC4=CC=C(O)C=C34,0,24.67,3.292,1
O=C(Nc1c(cccc1C)C)C[NH+](CC)CC,CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C,0.34,33.54,2.222,1
Clc1ccc(cc1)C1(O)CC[NH+](CC1)CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,CN(C)C(=O)C(CC[NH+]1CCC(O)(CC1)C2=CC=C(Cl)C=C2)(C3=CC=CC=C3)C4=CC=CC=C4,0.77,44.98,6.352,1
Clc1ccccc1C1=N[C@@H](O)C(=O)Nc2c1cc(Cl)cc2,OC1N=C(C2=C(Cl)C=CC=C2)C3=C(NC1=O)C=CC(=C3)Cl,0.44,61.69,3.006,0
S(CCC[NH+]1CCN(CC1)c1nc(nc(c1)C(F)(F)F)C(C)(C)C)C=1NC(=O)C=CN=1,CC(C)(C)C1=NC(=CC(=N1)N2CC[NH+](CCCSC3=NC=CC(=O)N3)CC2)C(F)(F)F,0.3,74.92,2.232,1
S(Cc1oc(cc1)C[NH+](C)C)CCNC=1NC(=O)C(=CN=1)Cc1ccc(nc1)C,C[NH+](C)CC1=CC=C(CSCCNC2=NC=C(CC3=CN=C(C)C=C3)C(=O)N2)O1,-1.06,83.96,1.099,1
OC[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,OCC(O)C(O)C(O)C(O)CO,-1.6,121.38,-3.39,0
FC(F)(F)c1c2nc(cc(c2ccc1)[C@H](O)[C@@H]1[NH2+]CCCC1)C(F)(F)F,OC(C1CCCC[NH2+]1)C2=CC(=NC3=C(C=CC=C23)C(F)(F)F)C(F)(F)F,0.63,49.73,4.275,1
S1c2c(N(c3c1cccc3)CC[C@H]1[N@@H+](CCCC1)C)cc(S(=O)C)cc2,C[NH+]1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)[S](C)=O,-0.185,43.96,3.732,1
[NH2+]([C@H](Cc1ccccc1)C)C,C[NH2+]C(C)CC1=CC=CC=C1,0.93,16.61,2.237,1
O=C1N(C)C(=O)NC(=O)[C@]1([C@H](C#CCC)C)CC=C,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,-0.06,66.48,1.727,0
O=C(N[C@H](CCC(=O)[O-])C(=O)[O-])c1ccc(N(Cc2nc3c(nc(nc3N)N)nc2)C)cc1,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C3=CC=C(C=C3)C(=O)NC(CCC([O-])=O)C([O-])=O,-1.52,216.2,-0.198,4
O(C[C@H](O)C[NH2+]C(C)C)c1ccc(cc1)CCOC,COCCC1=CC=C(OCC(O)C[NH2+]C(C)C)C=C1,1.15,55.3,1.879,1
[N@H+]1(CCN2[C@H](c3c(Cc4c2cccc4)cccc3)C1)C,C[NH+]1CCN2C(C1)C3=C(CC4=C2C=CC=C4)C=CC=C3,0.99,7.68,3.331,1
Clc1cc2c(-n3c(CN=C2c2ccccc2F)cnc3C)cc1,CC1=NC=C2CN=C(C3=CC=CC=C3F)C4=CC(=CC=C4[N]12)Cl,0.398,30.18,4.142,0
O1c2c(OC1)cc1N(OC)C=C(C(=O)[O-])C(=O)c1c2,CON1C=C(C([O-])=O)C(=O)C2=CC3=C(OCO3)C=C12,-0.92,88.13,0.992,2
[nH+]1c2N3[C@H](c4c(Cc2ccc1)cccc4)C[N@@H+](CC3)C,C[NH+]1CCN2C(C1)C3=C(CC4=CC=C[NH+]=C24)C=CC=C3,0.53,21.82,2.999,3
FCOC[C@@H](O)Cn1ccnc1[N+](=O)[O-],OC(COCF)C[N]1C=CN=C1[N+]([O-])=O,-0.01,93.1,-0.096,0
[NH2+]1[C@@H]2Cc3c(cccc3)[C@]1(c1c2cccc1)C,CC12[NH2+]C(CC3=C1C=CC=C3)C4=C2C=CC=C4,1.11,16.61,3.848,1
Clc1c2c(-n3c(CN(C)C2=O)c(nc3)-c2nc(on2)C(O)(C)C)ccc1,CN1CC2=C(N=C[N]2C3=CC=CC(=C3C1=O)Cl)C4=NOC(=N4)C(C)(C)O,-1.34,97.28,1.656,0
O1[C@@H]2[C@]34[C@@H]([C@H]([N@H+](CC3)C)Cc3c4c1c(O)cc3)C=C[C@H]2O,C[NH+]1CCC23C4OC5=C2C(=CC=C5O)CC1C3C=CC4O,-0.405,54.13,0.937,1
Fc1ccc(cc1)C(=O)CCC[NH+]1CCC2(N(CN(C)C2=O)c2ccccc2)CC1,CN1CN(C2=CC=CC=C2)C3(CC[NH+](CCCC(=O)C4=CC=C(F)C=C4)CC3)C1=O,0.46,45.06,3.525,1
O=C1c2ccc(nc2N(C=C1C(=O)[O-])CC)C,CCN1C=C(C([O-])=O)C(=O)C2=CC=C(C)N=C12,-0.659,73.33,0.881,2
S(C[C@H](NC(=O)c1cccc(O)c1C)[C@H](O)C[N@H+]1C[C@H]2[C@@H](C[C@@H]1C(=O)NC(C)(C)C)CCCC2)c1ccccc1,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(O)C[NH+]3CC4CCCCC4CC3C(=O)NC(C)(C)C,-0.93,103.1,5.362,1
O=C1Nc2c(nccc2C)N(c2ncccc12)C1CC1,CC1=CC=NC2=C1NC(=O)C3=CC=CN=C3N2C4CC4,0,58.12,1.897,0
[N@@H+]1(CCC[C@H]1c1cccnc1)C,C[NH+]1CCCC1C2=CN=CC=C2,0.345,17.33,1.375,1
Clc1cc2N(c3c(Sc2cc1)cccc3)CCC[NH2+]C,C[NH2+]CCCN1C2=CC=CC=C2SC3=CC=C(Cl)C=C13,1.37,19.85,4.356,1
Clc1cc2N(c3c(Sc2cc1)cccc3)CCC[NH3+],[NH3+]CCCN1C2=CC=CC=C2SC3=CC=C(Cl)C=C13,0.97,30.88,3.831,1
Clc1cc2c(NC(=O)CN=C2c2ccccc2)cc1,ClC1=CC2=C(NC(=O)CN=C2C3=CC=CC=C3)C=C1,0.555,41.46,2.912,0
[NH2+]1CCC[C@@H]1c1cccnc1,C1C[NH2+]C(C1)C2=CN=CC=C2,0.32,29.5,1.107,1
S1c2c(N(c3c1cccc3)CC[C@@H]1CCC[NH2+]C1)cc(SC)cc2,CSC1=CC=C2SC3=C(C=CC=C3)N(CCC4CCC[NH2+]C4)C2=C1,0.75,19.85,5.175,1
O(C)c1cc(ccc1OC)CC[NH2+]CCC[C@@](C(C)C)(C#N)c1cc(OC)c(OC)cc1,COC1=CC=C(CC[NH2+]CCCC(C#N)(C(C)C)C2=CC=C(OC)C(=C2)OC)C=C1OC,-0.64,77.32,5.083,1
s1c2Nc3c(N=C(N4CC[NH+](CC4)C)c2cc1C)cccc3,C[NH+]1CCN(CC1)C2=NC3=C(NC4=C2C=C(C)S4)C=CC=C3,0.78,32.07,2.523,1
S(=O)(Cc1ncc(C)c(OC)c1C)c1[nH]c2cc(OC)ccc2n1,COC1=CC2=C(C=C1)N=C([NH]2)[S](=O)CC3=C(C)C(=C(C)C=N3)OC,-0.82,96.31,1.315,0
Clc1[nH+]c(N2CC[NH2+]CC2)ccc1C(F)(F)F,FC(F)(F)C1=CC=C([NH+]=C1Cl)N2CC[NH2+]CC2,1.64,33.99,2.676,3
FC(F)(F)c1cc([nH+]cc1)N1CC[NH+](CC1)CCCCN1CCCC1=O,FC(F)(F)C1=CC(=[NH+]C=C1)N2CC[NH+](CCCCN3CCCC3=O)CC2,0.16,42.13,2.372,3
Clc1cc2[C@@H]3[C@H](c4c(Oc2cc1)cccc4)C[NH2+]C3,ClC1=CC=C2OC3=CC=CC=C3C4C[NH2+]CC4C2=C1,0.39,25.84,3.28,1
O1c2c([C@H]3C[NH2+]CC[C@]3(O)c3c1cccc3)cccc2C,CC1=C2OC3=CC=CC=C3C4(O)CC[NH2+]CC4C2=CC=C1,0.52,46.07,2.937,1
o1nc(c2c1cccc2)-c1ccccc1[C@@H]([NH3+])CC=C,[NH3+]C(CC=C)C1=C(C=CC=C1)C2=NOC3=CC=CC=C23,0,53.67,3.713,1
Clc1cc2[C@@H]3[C@@H](c4c(Oc2cc1)cccc4)C[N@@H+](C3)C,C[NH+]1CC2C(C1)C3=CC(=CC=C3OC4=CC=CC=C24)Cl,1.03,13.67,3.548,1
Clc1cc2c(NC(=O)[C@@H](O)N=C2c2ccccc2)cc1,OC1N=C(C2=CC=CC=C2)C3=C(NC1=O)C=CC(=C3)Cl,0.58,61.69,2.416,0
O=C1N(C)C(=O)Nc2ncn(c12)C,C[N]1C=NC2=C1C(=O)N(C)C(=O)N2,0.06,67.23,-0.801,0
Oc1cc2c(C[C@H]3[N@@H+](CC[C@]2(C)[C@H]3C)C\C=C(\C)/C)cc1,CC1C2CC3=CC=C(O)C=C3C1(C)CC[NH+]2CC=C(C)C,0.545,24.67,3.716,1
O=C1NC(=O)NC(=O)C1([C@@H](CCC)C)CC,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0.05,75.27,2.127,0
n12nnnc1CCCCC2,C1CC[N]2N=NN=C2CC1,-0.03,43.6,-0.073,0
S(C[C@@H]1C[C@@H]2[C@H]([N@H+](C1)CCC)Cc1c3c2cccc3[nH]c1)C,CCC[NH+]1CC(CSC)CC2C1CC3=C[NH]C4=C3C2=CC=C4,0.3,20.23,4.179,1
O(C)c1ccc(cc1C[NH2+][C@@H]1C2CC[NH+](CC2)[C@@H]1C(c1ccccc1)c1ccccc1)C(C)C,COC1=C(C[NH2+]C2C3CC[NH+](CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=C(C=C1)C(C)C,0.48,30.28,6.928,2
FC(F)(F)Oc1cc(C[NH2+][C@@H]2CCC[NH2+][C@@H]2c2ccccc2)c(OC(F)F)cc1,FC(F)OC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(OC(F)(F)F)C=C1,0.88,51.68,5.862,2
FC(F)(F)Oc1cc(C[NH2+][C@@H]2CCC[NH2+][C@@H]2c2ccccc2)c(OC(C)C)cc1,CC(C)OC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(OC(F)(F)F)C=C1,0.41,51.68,6.051,2
S(=O)(=O)(C)c1cc(C[NH2+][C@@H]2CCC[NH2+][C@@H]2c2ccccc2)c(OC)cc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(C=C1)[S](C)(=O)=O,-0.15,76.59,3.047,2
S(=O)(=O)(N1CCc2cc(OC)c(cc12)C[NH2+][C@@H]1[C@@H]2CC[N@@H+](C2)[C@@H]1C(c1ccccc1)c1ccccc1)C,COC1=C(C[NH2+]C2C3CC[NH+](C3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=C6N(CCC6=C1)[S](C)(=O)=O,-1,67.66,4.032,2
S(=O)(=O)(N1c2cc(C[NH2+][C@@H]3CCC[NH2+][C@@H]3c3ccccc3)c(OC)cc2C[C@H]1C)C,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C4N(C(C)CC4=C1)[S](C)(=O)=O,-0.42,79.83,3,2
s1ccnc1-c1cc(C[NH2+][C@@H]2CCC[NH2+][C@@H]2c2ccccc2)c(OC)cc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(C=C1)C4=NC=CS4,0.36,55.34,4.457,2
O(C)c1ccc(N2CCCC2=O)cc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(C=C1)N4CCCC4=O,-0.22,62.76,3.389,2
s1c2cc(OC)c(cc2nc1C)C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C4N=C(C)SC4=C1,0.48,55.34,4.478,2
s1c(C)c(nc1N(S(=O)(=O)C)c1cc(C[NH2+][C@@H]2CCC[NH2+][C@@H]2c2ccccc2)c(OC)cc1)C,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(C=C1)N(C4=NC(=C(C)S4)C)[S](C)(=O)=O,-0.37,92.72,4.537,2
o1c2cc(OC)c(cc2nc1C)C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C4N=C(C)OC4=C1,0.49,68.48,3.663,2
O(C)c1ccc(cc1C[NH2+][C@@H]1C2CC[NH+](CC2)[C@@H]1C(c1ccccc1)c1ccccc1)C(C)(C)C,COC1=C(C[NH2+]C2C3CC[NH+](CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=C(C=C1)C(C)(C)C,0.46,30.28,7.284,2
O(C)c1ccc(-n2nc(cc2C)C)cc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(C=C1)[N]4N=C(C)C=C4C,0.11,60.27,4.035,2
s1c2cc(OC)c(cc2nc1C(C)(C)C)C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C4N=C(SC4=C1)C(C)(C)C,0.85,55.34,5.679,2
s1c2cc(OC(C)C)c(cc2nc1C)C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,CC(C)OC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C4N=C(C)SC4=C1,0.32,55.34,5.281,2
s1c2cc(OC)c(cc2nc1-c1ccccc1)C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C4N=C(SC4=C1)C5=CC=CC=C5,1.26,55.34,6.14,2
s1c2cc(OC)c(cc2nc1C1CC1)C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C4N=C(SC4=C1)C5CC5,0.62,55.34,4.829,2
O(C)c1ccc(cc1C[NH2+][C@@H]1C2CC[NH+](CC2)[C@@H]1C(c1ccccc1)c1ccccc1)C(O)(C)C,COC1=C(C[NH2+]C2C3CC[NH+](CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=C(C=C1)C(C)(C)O,-0.89,50.51,6.132,2
O(C)c1ccccc1C[NH2+][C@@H]1C2CC[NH+](CC2)[C@@H]1C(c1ccccc1)c1ccccc1,COC1=C(C[NH2+]C2C3CC[NH+](CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C1,0.37,30.28,5.748,2
O(C)c1ccccc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=CC=C1,0.87,42.45,3.812,2
O(C)c1ccc(cc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1)C(C)(C)C,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(C=C1)C(C)(C)C,0.98,42.45,5.348,2
FC(F)(F)Oc1cc(C[NH2+][C@@H]2CCC[NH2+][C@@H]2c2ccccc2)c(OC)cc1,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(OC(F)(F)F)C=C1,0.63,51.68,5.248,2
O(C)c1ccc(cc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1)C(C)C,COC1=C(C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3)C=C(C=C1)C(C)C,0.92,42.45,4.992,2
FC(F)(F)Oc1ccc(cc1C[NH2+][C@@H]1CCC[NH2+][C@@H]1c1ccccc1)C(C)(C)C,CC(C)(C)C1=CC(=C(OC(F)(F)F)C=C1)C[NH2+]C2CCC[NH2+]C2C3=CC=CC=C3,0.96,42.45,6.791,2
[NH+]1(CCCCC1)C1(CCCCC1)c1ccccc1,C1CC[NH+](CC1)C2(CCCCC2)C3=CC=CC=C3,0.52,4.44,4.974,1
O(C(=O)Nc1ccccc1)c1cc2c(N([C@H]3[N@@H+](CC[C@@]23C)C)C)cc1,CN1C2[NH+](C)CCC2(C)C3=C1C=CC(=C3)OC(=O)NC4=CC=CC=C4,1,46.01,3.373,1
O=C1N(N(C(=O)C1CCCC)c1ccccc1)c1ccccc1,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,-0.52,40.62,4.076,0
[O-]\[N+](=C\c1ccccc1)\C(C)(C)C,CC(C)(C)[N+](/[O-])=C\C1=CC=CC=C1,0.05,28.75,3.395,0
O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,O=C1NC(=O)C(N1)(C2=CC=CC=C2)C3=CC=CC=C3,-0.096,58.2,2.449,0
O(C(=O)NC)c1cc2c(N([C@@H]3[N@H+](CC[C@@]23C)C)C)cc1,CNC(=O)OC1=CC2=C(C=C1)N(C)C3[NH+](C)CCC23C,0.079,46.01,1.719,1
O(C[C@@H](O)C[NH2+]C(C)C)c1c2c([nH]cc2)ccc1,CC(C)[NH2+]CC(O)COC1=C2C=C[NH]C2=CC=C1,-0.135,61.86,2.068,1
Clc1ccccc1-c1nc(cc2c1cccc2)C(=O)N([C@H](CC)C)C,CCC(C)N(C)C(=O)C1=NC(=C2C=CC=CC2=C1)C3=CC=CC=C3Cl,0.48,33.2,5.316,0
O=C([O-])c1ccc(cc1)-c1ccccc1,[O-]C(=O)C1=CC=C(C=C1)C2=CC=CC=C2,-1.26,40.13,3.664,2
O=C1NCNC(=O)C1(CC)c1ccccc1,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,-0.07,58.2,1.483,0
O(C(=O)c1ccc(N)cc1)CC[NH+](CC)CC,CC[NH+](CC)CCOC(=O)C1=CC=C(N)C=C1,0.05,56.76,1.734,1
S1c2c(N(c3c1cccc3)CCC[NH+](C)C)cccc2,C[NH+](C)CCCN1C2=C(SC3=C1C=CC=C3)C=CC=C2,0.88,7.68,3.995,1
S1(=O)c2c(N(c3c1cccc3)CCC[NH+](C)C)cccc2,C[NH+](C)CCCN1C2=C(C=CC=C2)[S](=O)C3=C1C=CC=C3,-0.48,43.96,2.227,1
OCC#C,OCC#C,-0.23,20.23,-0.098,0
Oc1c(cccc1C(C)C)C(C)C,CC(C)C1=C(O)C(=CC=C1)C(C)C,0.696,20.23,3.88,0
O(C[C@H](O)C[NH2+]C(C)C)c1c2c(ccc1)cccc2,CC(C)[NH2+]CC(O)COC1=C2C=CC=CC2=CC=C1,1.11,46.07,2.921,1
O(C(=O)c1ccc(N)cc1)CCC,CCCOC(=O)C1=CC=C(N)C=C1,0.55,52.32,2.13,0
[NH2+]([C@@H](CC1CCCCC1)C)C,C[NH2+]C(C)CC1CCCCC1,1.08,16.61,2.948,1
c12c3c4ccc1cccc2ccc3ccc4,C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,0.23,0,4.912,0
O(C)c1ccc(cc1)CN(CC[NH+](C)C)c1[nH+]cccc1,COC1=CC=C(CN(CC[NH+](C)C)C2=CC=CC=[NH+]2)C=C1,0.495,31.05,3.11,3
O(C)c1cc2c(nccc2[C@H](O)[C@@H]2[N@@H+]3C[C@@H]([C@H](C2)CC3)C=C)cc1,COC1=CC2=C(C=C1)N=CC=C2C(O)C3CC4CC[NH+]3CC4C=C,-0.01,46.79,2.77,1
S(Cc1oc(cc1)C[NH+](C)C)CCN\C(\NC)=C\[N+](=O)[O-],CNC(/NCCSCC1=CC=C(C[NH+](C)C)O1)=C\[N+]([O-])=O,-1.23,87.46,0.93,1
O1CCc2c([nH]c3c2cccc3CC)[C@@]1(CC(=O)[O-])CC,CCC1=C2[NH]C3=C(CCOC3(CC)CC([O-])=O)C2=CC=C1,-1.424,65.15,3.857,2
O1[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1n1nc(nc1)C(=O)N,NC(=O)C1=N[N](C=N1)C2OC(CO)C(O)C2O,-0.668,143.72,-4.206,0
Fc1cc2onc(c2cc1)C1CC[NH+](CC1)CCC=1C(=O)N2C(=NC=1C)CCCC2,CC1=C(CC[NH+]2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)C(=O)N5CCCCC5=N1,-0.02,63.14,2.796,1
O(C(=O)N(CC)C)c1cc(ccc1)[C@H]([NH+](C)C)C,CCN(C)C(=O)OC1=CC(=CC=C1)C(C)[NH+](C)C,0.88,33.98,2.569,1
s1c2c(-n3c(CN(C)C2=O)c(nc3)C(OC(C)(C)C)=O)cc1,CN1CC2=C(N=C[N]2C3=C(SC=C3)C1=O)C(=O)OC(C)(C)C,-0.25,64.43,1.601,0
O(c1cc(ccc1OC)[C@@H]1CC(=O)NC1)C1CCCC1,COC1=CC=C(C=C1OC2CCCC2)C3CNC(=O)C3,0.61,47.56,2.122,0
O=C1Nc2c(C1)c(ccc2)CC[NH+](CCC)CCC,CCC[NH+](CCC)CCC1=C2CC(=O)NC2=CC=C1,0.03,33.54,3.022,1
S(CCF)C(N)=N,NC(=N)SCCF,-0.273,49.87,0.668,0
Oc1ccc(cc1CO)[C@H](O)C[NH2+]C(C)(C)C,CC(C)(C)[NH2+]CC(O)C1=CC(=C(O)C=C1)CO,-1.21,77.3,1.529,1
Oc1ccccc1C(=O)[O-],OC1=C(C=CC=C1)C([O-])=O,-1.145,60.36,1.394,2
Oc1ccccc1C(=O)NCC(=O)[O-],OC1=CC=CC=C1C(=O)NCC([O-])=O,-0.44,89.46,0.521,2
O=C(N[C@@H](CC(=O)N)C(=O)N[C@H]([C@H](O)C[N@@H+]1C[C@@H]2[C@H](C[C@H]1C(=O)NC(C)(C)C)CCCC2)Cc1ccccc1)c1nc2c(cc1)cccc2,CC(C)(C)NC(=O)C1CC2CCCCC2C[NH+]1CC(O)C(CC3=CC=CC=C3)NC(=O)C(CC(N)=O)NC(=O)C4=NC5=C(C=CC=C5)C=C4,-0.967,167.95,3.314,1
O=C(N[C@H](CC)c1ccccc1)c1c2c(nc(-c3ccccc3)c1C)cccc2,CCC(NC(=O)C1=C(C)C(=NC2=C1C=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,0.3,41.99,6.484,0
O1[C@H]2[C@@H]3[NH+]([C@H]([C@@H]12)CC(OC(=O)[C@@H](CO)c1ccccc1)C3)C,C[NH+]1C2CC(CC1C3OC23)OC(=O)C(CO)C4=CC=CC=C4,0.23,63.5,1.326,1
O=C1NC(=O)NC(=O)C1([C@@H](CCC)C)CC=C,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,0.2,75.27,1.922,0
Clc1cc(ccc1Cl)[C@H]1CC[C@@H]([NH2+]C)c2c1cccc2,C[NH2+]C1CCC(C2=CC(=C(Cl)C=C2)Cl)C3=C1C=CC=C3,1.6,16.61,5.462,1
Brc1cccnc1CSCCNc1[nH]ccc1[N+](=O)[O-],[O-][N+](=O)C1=C(NCCSCC2=NC=CC=C2Br)[NH]C=C1,-0.67,86.53,2.693,0
s1cc(nc1\N=C(\N)/N)-c1ccccc1,NC(N)=NC1=NC(=CS1)C2=CC=CC=C2,-0.18,77.29,1.821,0
s1cc(nc1\N=C(\N)/N)C,CC1=CSC(=N1)N=C(N)N,-0.04,77.29,0.159,0
s1cc(nc1\N=C(\N)/N)-c1cc(N)ccc1,NC(N)=NC1=NC(=CS1)C2=CC(=CC=C2)N,-1.15,103.31,1.186,0
s1cc(nc1\N=C(\N)/N)-c1cc(NC(=O)C)ccc1,CC(=O)NC1=CC(=CC=C1)C2=CSC(=N2)N=C(N)N,-1.57,106.39,1.149,0
o1c(ccc1C[NH+](C)C)-c1cc(Nc2[nH]ccc2[N+](=O)[O-])ccc1,C[NH+](C)CC1=CC=C(O1)C2=CC=CC(=C2)NC3=C(C=C[NH]3)[N+]([O-])=O,-0.27,91.22,3.201,1
O=[N+]([O-])c1cc[nH]c1Nc1cc(ccc1)-c1nccc(c1)C[NH+](C)C,C[NH+](C)CC1=CC(=NC=C1)C2=CC=CC(=C2)NC3=C(C=C[NH]3)[N+]([O-])=O,-0.28,90.97,3.373,1
O(CCCNC(=O)C)c1cc(ccc1)C[NH+]1CCCCC1,CC(=O)NCCCOC1=CC=CC(=C1)C[NH+]2CCCCC2,-0.46,42.77,2.617,1
O(CCCNC(=O)c1ccccc1)c1cc(ccc1)C[NH+]1CCCCC1,O=C(NCCCOC1=CC(=CC=C1)C[NH+]2CCCCC2)C3=CC=CC=C3,-0.24,42.77,4.279,1
O(CCCO)c1cc(ccc1)C[NH+]1CCCCC1,OCCCOC1=CC=CC(=C1)C[NH+]2CCCCC2,-0.02,33.9,2.67,1
s1ccnc1NCCCOc1cc(ccc1)C[NH+]1CCCCC1,C1CC[NH+](CC1)CC2=CC=CC(=C2)OCCCNC3=NC=CS3,0.44,38.59,3.608,1
o1c2c(nc1NCCCOc1cc(ccc1)C[NH+]1CCCCC1)cccc2,C1CC[NH+](CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4O3,0.22,51.73,4.439,1
Oc1c2NC(=O)Cc2c(cc1)CC[NH+](CCC)CCC,CCC[NH+](CCC)CCC1=C2CC(=O)NC2=C(O)C=C1,-0.282,53.77,2.712,1
S(Cc1oc(cc1)C[NH+](C)C)CCNC1=NC(=O)C(=CN1)Cc1cc2c(cc1)cccc2,C[NH+](C)CC1=CC=C(CSCCNC2=NC(=O)C(=CN2)CC3=CC=C4C=CC=CC4=C3)O1,-1.3,71.07,4,1
S(C(N)=N)C,CSC(N)=N,-0.601,49.87,0.553,0
S(=O)(=O)(Nc1ccc(cc1)[C@@H](O)C[NH2+]C(C)C)C,CC(C)[NH2+]CC(O)C1=CC=C(N[S](C)(=O)=O)C=C1,-0.28,83.01,1.012,1
Fc1ccc(cc1)C(=O)CCC[NH+]1CCC2(N(CNC2=O)c2ccccc2)CC1,FC1=CC=C(C=C1)C(=O)CCC[NH+]2CCC3(CC2)N(CNC3=O)C4=CC=CC=C4,0.26,53.85,3.328,1
O1[C@@H](C=C[C@@H]1N1C=C(C)C(=O)NC1=O)CO,CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O,-0.481,78.87,-1.014,0
S1c2c(N(c3c1cccc3)CC[C@@H]1[N@@H+](CCCC1)C)cc(S(=O)(=O)C)cc2,C[NH+]1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)[S](C)(=O)=O,0.18,41.82,4.325,1
n1c2c(CCCC2)c(N)c2c1cccc2,NC1=C2CCCCC2=NC3=CC=CC=C13,-0.13,38.91,2.443,0
